QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (SARS-CoV-2 Mpro)_original,Split_IsTrain,predicted SARS
MultiTaskTutorialDataset_229,COc1ccccc1[C@H]1CC(C)(C)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032254,Test,6.31,6.46,MultiTaskTutorialDataset_229,6.46,False,5.225643
MultiTaskTutorialDataset_230,C[C@H]1C[C@@H](C(C)(F)F)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032256,Test,5.14,5.9,MultiTaskTutorialDataset_230,5.9,True,5.946851
MultiTaskTutorialDataset_231,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)Cc2ccsc21,ASAP-0032260,Test,5.27,5.9,MultiTaskTutorialDataset_231,5.9,False,5.697396
MultiTaskTutorialDataset_232,N#CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032261,Test,4.47,4.83,MultiTaskTutorialDataset_232,4.83,True,4.609623
MultiTaskTutorialDataset_233,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1C1CCC1,ASAP-0032264,Test,4.41,4.76,MultiTaskTutorialDataset_233,4.76,True,4.865146
MultiTaskTutorialDataset_234,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1c(F)cccc1F,ASAP-0032266,Test,5.17,6.02,MultiTaskTutorialDataset_234,6.02,True,4.589311
MultiTaskTutorialDataset_235,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1nc2ccccc2o1,ASAP-0032269,Test,4.69,4.58,MultiTaskTutorialDataset_235,4.58,True,4.420019
MultiTaskTutorialDataset_236,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(F)c(Cl)c1,ASAP-0032271,Test,5.23,5.58,MultiTaskTutorialDataset_236,5.58,True,5.635719
MultiTaskTutorialDataset_237,Cc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)[nH]n1,ASAP-0032277,Test,4.92,4.41,MultiTaskTutorialDataset_237,4.41,True,4.3989215
MultiTaskTutorialDataset_238,O=C(Cc1cncc2ccccc12)N1CCC[C@H](C2CCCC2)C1,ASAP-0032278,Test,4.56,4.85,MultiTaskTutorialDataset_238,4.85,True,5.334259
MultiTaskTutorialDataset_239,O=C(Cc1cncc2ccccc12)N1CCC[C@H](C2CCCC2)C1,ASAP-0032279,Test,5.2,5.58,MultiTaskTutorialDataset_239,5.58,True,5.334259
MultiTaskTutorialDataset_240,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1cc[nH]n1,ASAP-0032280,Test,4.58,4.38,MultiTaskTutorialDataset_240,4.38,True,4.2936625
MultiTaskTutorialDataset_241,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccon1,ASAP-0032282,Test,4.49,4.7,MultiTaskTutorialDataset_241,4.7,True,4.3916187
MultiTaskTutorialDataset_242,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1cccc(F)c1,ASAP-0032285,Test,5.43,5.85,MultiTaskTutorialDataset_242,5.85,True,5.7076974
MultiTaskTutorialDataset_243,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(Cl)cc1,ASAP-0032289,Test,5.7,5.19,MultiTaskTutorialDataset_243,5.19,True,4.861008
MultiTaskTutorialDataset_244,Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,ASAP-0032292,Test,5.54,4.82,MultiTaskTutorialDataset_244,4.82,True,4.7484283
MultiTaskTutorialDataset_245,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(F)cn1,ASAP-0032295,Test,4.55,5.09,MultiTaskTutorialDataset_245,5.09,True,4.5399337
MultiTaskTutorialDataset_246,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccncn1,ASAP-0032300,Test,4.45,5.08,MultiTaskTutorialDataset_246,5.08,True,4.0468454
MultiTaskTutorialDataset_247,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)[C@H]1C,ASAP-0032312,Test,3.34,4.16,MultiTaskTutorialDataset_247,4.16,True,5.3734713
MultiTaskTutorialDataset_248,O=C(Cc1cncc2ccccc12)N1CCc2scnc2C12CCC2,ASAP-0032322,Test,5.56,6.75,MultiTaskTutorialDataset_248,6.75,True,4.7386804
MultiTaskTutorialDataset_249,C[C@H](O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032327,Test,4.21,4.06,MultiTaskTutorialDataset_249,4.06,True,4.0373063
MultiTaskTutorialDataset_250,C[C@H](O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032328,Test,4.15,4.1,MultiTaskTutorialDataset_250,4.1,True,4.0373063
MultiTaskTutorialDataset_251,Cn1nccc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032332,Test,4.63,4.42,MultiTaskTutorialDataset_251,4.42,True,4.0854874
MultiTaskTutorialDataset_252,Cn1nncc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032358,Test,3.9,4.15,MultiTaskTutorialDataset_252,4.15,True,4.2943234
MultiTaskTutorialDataset_253,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(Cl)cc1F,ASAP-0032364,Test,5.22,4.96,MultiTaskTutorialDataset_253,4.96,True,5.1765957
MultiTaskTutorialDataset_254,O=C(Cc1cncc2ccccc12)N1CCC[C@H]2CCCC[C@H]21,ASAP-0032402,Test,3.97,5.15,MultiTaskTutorialDataset_254,5.15,True,4.8307805
MultiTaskTutorialDataset_255,O=C(Cc1cncc2ccccc12)N1CCC[C@H]2CCCC[C@H]21,ASAP-0032403,Test,3.96,4.67,MultiTaskTutorialDataset_255,4.67,True,4.8307805
MultiTaskTutorialDataset_256,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1cscn1,ASAP-0032546,Test,4.19,5.11,MultiTaskTutorialDataset_256,5.11,True,4.1888447
MultiTaskTutorialDataset_257,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1[C@H]1CCCO1,ASAP-0032559,Test,4.67,4.61,MultiTaskTutorialDataset_257,4.61,True,4.093171
MultiTaskTutorialDataset_258,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1[C@H]1CCCO1,ASAP-0032560,Test,4.33,4.02,MultiTaskTutorialDataset_258,4.02,True,4.093171
MultiTaskTutorialDataset_259,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1[C@H]1CCCO1,ASAP-0032561,Test,4.54,4.2,MultiTaskTutorialDataset_259,4.2,True,4.093171
MultiTaskTutorialDataset_260,O=C(Cc1cncc2ccccc12)N1CCC[C@H]2CCCC[C@@H]21,ASAP-0032572,Test,4.84,5.18,MultiTaskTutorialDataset_260,5.18,True,4.8307805
MultiTaskTutorialDataset_261,COc1ccccc1[C@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032604,Test,5.53,5.59,MultiTaskTutorialDataset_261,5.59,False,5.9830213
MultiTaskTutorialDataset_262,COc1ccccc1[C@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032605,Test,5.47,5.77,MultiTaskTutorialDataset_262,5.77,False,5.9830213
